,City,Country,Latitude,Longitude,Temperature,Humidity,Wind Speed,Cloudiness
0,lebu,cl,-37.62,-73.65,59.06,93,1.92,44
1,ostrovnoy,ru,68.05,39.51,33.14,95,9.53,92
2,chapais,ca,49.78,-74.86,10.4,46,3.36,1
3,rivadavia,ar,-31.53,-68.59,80.57,49,2.82,0
4,grand island,us,40.92,-98.34,30.18,58,29.97,90
5,vao,nc,-22.67,167.48,76.25,100,19.71,92
6,barrow,us,39.51,-90.4,58.95,88,17.22,90
7,kavieng,pg,-2.57,150.8,83.09,100,9.08,8
8,puerto ayora,ec,-0.74,-90.35,84.2,62,4.7,20
9,seymchan,ru,62.93,152.39,17.21,77,5.61,56
10,busselton,au,-33.64,115.35,64.55,100,17.47,0
11,half moon bay,us,37.46,-122.43,56.43,81,6.93,40
12,faanui,pf,-16.48,-151.75,81.74,100,10.2,64
14,arraial do cabo,br,-22.97,-42.02,92.21,53,9.17,20
15,talmenka,ru,53.82,83.56,19.4,79,8.95,0
16,namatanai,pg,-3.66,152.44,82.55,100,9.75,12
17,beringovskiy,ru,63.05,179.32,16.67,93,5.95,12
18,inuvik,ca,68.36,-133.71,0.59,71,8.05,90
19,kurilsk,ru,45.23,147.88,31.52,89,10.2,24
20,kruisfontein,za,-34,24.73,67.52,98,9.64,20
21,atuona,pf,-9.8,-139.03,81.65,100,17.13,80
22,anadyr,ru,64.73,177.51,10.4,92,6.71,8
23,provideniya,ru,64.42,-173.23,22.25,100,9.19,24
24,sao sebastiao,br,-3.15,-58.36,84.44,78,4.38,68
25,cape town,za,-33.93,18.42,66.2,77,13.87,0
26,hobart,au,-42.88,147.33,59,58,5.82,75
27,araouane,ml,18.9,-3.53,97.31,10,3.04,0
28,rikitea,pf,-23.12,-134.97,79.67,100,11.54,64
29,inverell,au,-29.78,151.11,55.1,96,5.5,0
31,praskoveya,ru,44.74,44.2,45.65,69,8.63,64
32,praia da vitoria,pt,38.73,-27.07,62.6,67,18.25,75
33,hilo,us,19.71,-155.08,63.39,83,3.36,40
34,vaini,to,-21.2,-175.2,77,100,13.87,75
35,port elizabeth,za,-33.92,25.57,68,88,3.36,90
36,skjervoy,no,70.03,20.97,32,100,9.17,75
37,rikitea,pf,-23.12,-134.97,79.67,100,11.54,64
38,kirakira,sb,-10.46,161.92,82.19,100,9.53,92
39,cape town,za,-33.93,18.42,66.2,77,13.87,0
40,high level,ca,58.52,-117.13,10.4,55,10.29,40
41,hermanus,za,-34.42,19.24,67.34,69,5.28,8
42,cape town,za,-33.93,18.42,66.2,77,13.87,0
44,guerrero negro,mx,27.97,-114.04,63.2,73,9.86,12
45,ushuaia,ar,-54.81,-68.31,41,86,25.28,75
46,rikitea,pf,-23.12,-134.97,79.67,100,11.54,64
47,ponta do sol,cv,17.2,-25.09,69.32,100,14.67,88
49,borgo san dalmazzo,it,44.33,7.49,48.72,93,2.24,75
50,port alfred,za,-33.59,26.89,70.13,95,3.04,44
52,maceio,br,-9.67,-35.74,84.2,66,14.99,40
53,evensk,ru,61.92,159.24,32.51,89,13,92
54,kahului,us,20.89,-156.47,72.28,94,3.36,90
55,kodiak,us,39.95,-94.76,35.6,93,21.92,90
56,chuy,uy,-33.69,-53.46,71.66,93,7.63,56
57,college,us,64.86,-147.8,-2.91,77,11.99,1
59,hermanus,za,-34.42,19.24,67.34,69,5.28,8
60,cape town,za,-33.93,18.42,66.2,77,13.87,0
61,caconde,br,-21.53,-46.64,82.4,58,9.17,75
62,villarrica,cl,-39.28,-72.23,63.11,83,2.71,80
63,lucapa,ao,-8.42,20.74,68.33,98,3.27,100
66,vaini,to,-21.2,-175.2,77,100,13.87,75
67,padang,id,-0.92,100.36,81.92,100,1.48,32
68,faanui,pf,-16.48,-151.75,81.74,100,10.2,64
